rank,style_name,gender,category,fabric,length,downweight,sell_amount_m,sell_qty,sell_rate,stock_status
1,알로로 벨벳,WOMEN,DOWN,TEXTURED,MIDDLE,HEAVY,1042.1,847,101.0,재고부족
2,소바라,WOMEN,DOWN,SHINY,LONG,MEDIUM,512.8,434,45.6,재고과다
3,알로로,WOMEN,DOWN,SHINY,MIDDLE,HEAVY,400.9,340,54.9,적정
4,토리사 벨벳,WOMEN,DOWN,TEXTURED,SHORT,HEAVY,397.8,339,67.8,적정
5,에우리피데 벨벳,WOMEN,DOWN,TEXTURED,MIDDLE,LIGHT,376.7,378,91.3,재고부족
6,라바로네,WOMEN,DOWN,SOFT-MATTE,LONG,HEAVY,327.6,242,56.4,적정
7,마라테아 미드,WOMEN,DOWN,SOFT-MATTE,MIDDLE,HEAVY,226.8,178,42.6,재고과다
8,레미에,WOMEN,DOWN,SHINY,LONG,HEAVY,183.1,126,30.6,재고과다
9,벨라트릭스 벨벳,WOMEN,DOWN,TEXTURED,SHORT,HEAVY,174.1,148,47.7,재고과다
10,리아노리 K,WOMEN,DOWN,SEMI-SHINY,LONG,LIGHT,167.5,144,56.9,적정
